,Unnamed: 0,ID,age,gender,marital_status,highest_education,land_ownership,title_deed,own_phone,salaries_wages,selling_produce,selling_services,piece_job,rental_income,interest_earned,pension,social_grant,pocket_money,someone_pays,other,employer_for_employed,what_you_sell,service_you_provide,sent_money_in_12_months,when_last_send_money,recieved_money_in_12_months,when_last_recieve_money,how_often_purchase_mobilemoney,how_often_pay_bills_with_mm,literacy_Kiswhahili,literacy_english,Latitude,Longitude,mobile_money,savings,borrowing,insurance,mobile_money_classification,income,my_class,age_group
46,46,6617,29,female,married,Primary completed,1,land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,1,-3.87132116,35.65140707,0,1,0,0,1,1,no_mm,young adult
47,47,8467,35,male,married,Primary completed,1,not_land_owner,1,1,1,0,1,0,0,0,0,0,0,0,2,1,-1,1,2,2,-1,Monthly,4,1,2,-8.56409232,35.33905815,1,1,1,0,3,3,mm_plus,young adult
48,48,4116,46,female,divorced,Primary completed,1,not_land_owner,1,0,1,0,1,0,0,0,0,1,0,0,-1,1,-1,1,3,1,3,Never,-1,1,4,-4.22585093,34.61299078,1,1,1,1,3,3,mm_plus,middle age
49,49,8125,25,male,married,Primary completed,4,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,2,Never,-1,1,4,-8.95365989,32.56461543,1,0,0,0,2,1,mm_only,youth
50,50,1044,31,female,married,No formal education,2,not_land_owner,2,0,1,0,0,0,1,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-3.99684717,33.37908427,0,1,1,0,1,2,no_mm,young adult
51,51,2535,21,female,married,Primary completed,5,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,2,-1,2,-1,Never,-1,1,4,-2.61146616,32.07196443,0,0,1,0,1,1,no_mm,youth
52,52,8950,39,female,married,Primary completed,5,not_land_owner,2,0,1,0,1,0,0,0,0,1,0,0,-1,7,-1,2,-1,2,-1,Never,-1,1,4,-8.97814972,36.76014005,0,1,1,0,1,3,no_mm,middle age
53,53,6099,23,male,married,Some primary,3,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,6,2,-1,Less than monthly,-1,1,4,-2.34096694,32.29512438,1,1,1,0,3,1,mm_plus,youth
54,54,5607,21,male,single,Primary completed,3,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,6,Less than monthly,-1,1,2,-3.4327519,31.51375467,1,0,1,0,3,1,mm_plus,youth
55,55,8734,25,male,married,Primary completed,1,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,4,-1,2,-1,2,-1,Never,-1,1,2,-8.12810763,30.96696583,0,0,1,0,1,2,no_mm,youth
56,56,4734,72,male,married,No formal education,3,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-6.2650312,36.86940735,0,0,1,0,1,1,no_mm,senior
57,57,7776,65,female,divorced,No formal education,1,not_land_owner,1,0,1,0,0,0,0,0,1,1,0,0,-1,3,-1,2,-1,1,5,Never,-1,4,4,-10.48861938,39.02782579,1,0,1,0,3,3,mm_plus,senior
58,58,9367,54,female,married,Some primary,2,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-4.02596301,34.50822471,0,0,0,0,0,1,no_mm,middle age
59,59,3423,32,male,married,Primary completed,1,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,1,Never,-1,1,4,-8.57148856,33.44991499,1,1,0,0,3,1,mm_plus,young adult
60,60,2878,24,male,single,Some primary,5,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,1,2,1,3,Never,-1,1,4,-2.50670896,32.0118141,1,1,0,0,3,1,mm_plus,youth
61,61,2356,24,female,single,Don’t know,1,not_land_owner,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,2,1,5,Never,1,1,1,-3.363681,36.72002605,1,1,1,0,3,1,mm_plus,youth
62,62,229,34,male,married,University or other higher education,3,land_owner,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,2,-1,2,-1,Monthly,2,1,1,-6.96839746,39.08681603,1,1,1,1,3,1,mm_plus,young adult
63,63,3406,46,female,married,Primary completed,3,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,4,-6.37275189,38.35172048,0,1,1,0,1,2,no_mm,middle age
64,64,771,31,female,married,No formal education,3,not_land_owner,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,4,4,-3.25233472,30.9082292,0,0,0,0,0,1,no_mm,young adult
65,65,580,26,male,single,Primary completed,5,not_land_owner,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,7,1,3,1,3,Never,5,1,4,-10.66296868,35.65686511,1,0,1,0,3,1,mm_plus,young adult
66,66,6163,45,female,married,Primary completed,1,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,4,-2.8528492,32.88685392,1,0,1,0,3,2,mm_plus,middle age
67,67,6212,31,male,married,University or other higher education,1,not_land_owner,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,7,2,-1,2,-1,Never,1,1,5,-10.46735817,36.13244508,1,1,0,0,3,1,mm_plus,young adult
68,68,8574,23,male,single,Primary completed,3,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,5,Monthly,-1,2,2,-6.87575725,39.2326073,1,1,0,0,3,1,mm_plus,youth
69,69,8278,31,female,married,Primary completed,4,not_land_owner,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,1,2,Never,-1,1,4,-6.88329466,39.25354774,1,1,1,0,3,1,mm_plus,young adult
70,70,3919,38,female,married,No formal education,5,not_land_owner,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,4,4,-3.821738,33.30840363,0,0,1,0,1,1,no_mm,middle age
71,71,8883,45,male,married,University or other higher education,1,not_land_owner,1,1,1,0,1,0,0,0,0,0,0,0,1,1,-1,2,-1,1,2,Never,4,1,1,-11.263398,34.79128086,1,1,1,1,3,3,mm_plus,middle age
72,72,5677,27,male,married,Some primary,1,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,2,-7.85425891,31.1757775,0,0,1,0,1,1,no_mm,young adult
73,73,9209,32,female,married,Primary completed,4,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,4,1,3,Never,-1,1,3,-4.26860253,38.05357002,1,1,0,0,3,1,mm_plus,young adult
74,74,7050,25,male,married,University or other higher education,1,land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,Less than monthly,-1,1,1,-11.40079283,36.42848862,1,0,0,0,2,2,mm_only,youth
75,75,1531,26,male,divorced,Don’t know,5,land_owner,1,0,0,1,1,0,0,0,0,0,0,0,-1,-1,12,2,-1,1,3,Less than monthly,-1,1,1,-6.14814684,39.2228004,1,0,1,0,3,2,mm_plus,young adult
76,76,7922,30,male,single,Primary completed,3,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,4,-8.79798017,34.99025617,0,1,0,0,1,2,no_mm,young adult
77,77,4397,18,male,single,No formal education,3,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-6.29072293,35.88227777,0,0,0,1,1,2,no_mm,teenager
78,78,3170,28,male,divorced,Primary completed,4,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,6,-1,1,6,2,-1,Never,-1,1,4,-4.57358799,33.03776076,1,0,1,0,3,2,mm_plus,young adult
79,79,6376,35,female,married,Some secondary,1,not_land_owner,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,Never,1,1,5,-5.24594851,39.78153458,0,0,0,0,0,1,no_mm,young adult
80,80,5472,50,female,married,Primary completed,3,land_owner,2,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,1,3,2,-1,Never,-1,1,1,-3.20246304,37.20556708,1,1,1,0,3,2,mm_plus,middle age
81,81,9138,30,female,divorced,Primary completed,3,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,5,Less than monthly,-1,1,4,-10.75077606,38.53076548,1,0,0,0,2,2,mm_only,young adult
82,82,6020,48,male,married,Primary completed,1,not_land_owner,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,4,-6.57002874,35.51702142,0,0,0,0,0,1,no_mm,middle age
83,83,8658,23,female,married,Primary completed,4,land_owner,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,1,1,4,-6.9315708,39.2627114,0,0,0,0,0,1,no_mm,youth
84,84,919,27,female,married,Some primary,3,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Monthly,-1,1,4,-5.95904711,36.69328201,0,0,0,0,0,2,no_mm,young adult
85,85,6035,33,female,married,Primary completed,2,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,1,1,-10.91989576,39.38172881,0,1,0,0,1,1,no_mm,young adult
86,86,6925,33,male,single,Some primary,5,not_land_owner,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,4,-1.94038467,32.85856349,0,0,0,0,0,1,no_mm,young adult
87,87,5146,57,male,married,Primary completed,1,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,3,1,2,Monthly,-1,1,4,-9.33031317,33.71555106,1,1,1,0,3,1,mm_plus,middle age
88,88,1169,42,male,married,Don’t know,1,not_land_owner,1,1,0,0,0,0,0,0,0,0,0,0,2,-1,-1,2,-1,2,-1,Less than monthly,5,1,1,-3.35037913,37.30188854,1,0,1,1,3,1,mm_plus,middle age
89,89,3449,30,male,married,Primary completed,5,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,4,Never,-1,1,1,-3.36559136,33.53726776,1,1,1,0,3,1,mm_plus,young adult
90,90,5307,30,male,married,Primary completed,1,land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,2,-9.23731241,34.89157655,0,1,1,0,1,1,no_mm,young adult
91,91,1354,29,female,married,Post primary technical training,1,land_owner,1,0,0,1,1,0,0,0,0,0,0,0,-1,-1,1,2,-1,2,-1,Never,-1,1,4,-9.49385658,34.65333495,1,0,1,0,3,2,mm_plus,young adult
92,92,393,25,female,single,Primary completed,5,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,7,-1,1,6,1,2,Monthly,3,1,1,-10.67473747,35.64183403,1,1,1,0,3,1,mm_plus,youth
93,93,558,48,male,single,Primary completed,5,not_land_owner,1,0,0,0,1,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,2,-9.93089752,39.72115387,0,0,0,0,0,2,no_mm,middle age
94,94,1624,29,female,divorced,Primary completed,5,not_land_owner,2,0,1,0,1,0,0,0,0,0,0,0,-1,4,-1,2,-1,2,-1,Never,-1,1,4,-3.90304871,35.81426291,0,0,0,0,0,2,no_mm,young adult
95,95,151,44,female,divorced,Primary completed,5,land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,3,1,1,Less than monthly,3,1,3,-6.83370162,39.24087062,1,0,0,0,2,1,mm_only,middle age
96,96,1515,40,male,married,No formal education,3,not_land_owner,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,4,4,-3.62754058,33.40638784,0,0,0,0,0,1,no_mm,middle age
97,97,9233,21,female,married,Primary completed,4,not_land_owner,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,5,5,-2.04015789,33.83592211,0,0,1,0,1,1,no_mm,youth
98,98,5230,47,male,married,Some primary,1,not_land_owner,2,0,1,0,0,0,0,0,1,0,0,0,-1,1,-1,1,6,1,6,Less than monthly,-1,4,4,-2.74515319,31.88753692,1,0,1,0,3,2,mm_plus,middle age
99,99,862,39,male,divorced,Primary completed,3,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,Monthly,-1,1,2,-3.67416708,33.4410097,1,1,1,0,3,2,mm_plus,middle age
100,100,3874,51,male,married,Primary completed,1,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,3,2,-1,Monthly,5,1,1,-7.75707127,35.48008133,1,1,0,0,3,1,mm_plus,middle age
101,101,8078,26,female,widowed,Primary completed,4,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,1,2,1,2,Less than monthly,-1,1,1,-7.2557727,31.39929365,1,1,1,0,3,2,mm_plus,young adult
102,102,3920,21,female,married,Primary completed,5,not_land_owner,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,3,2,-1,Never,-1,1,3,-6.17026527,39.22253025,1,1,0,0,3,1,mm_plus,youth
103,103,9188,48,male,married,University or other higher education,5,not_land_owner,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,4,2,-1,Monthly,5,1,1,-10.51940931,38.67832566,1,1,0,1,3,1,mm_plus,middle age
104,104,4551,29,female,married,Primary completed,4,land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,5,-1,2,-1,2,-1,Never,-1,1,2,-8.46032763,32.15847508,0,0,1,0,1,1,no_mm,young adult
105,105,2620,69,male,married,No formal education,1,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,Never,-1,2,4,-7.68149797,36.03874388,1,0,1,1,3,2,mm_plus,senior
106,106,3975,58,female,divorced,Primary completed,5,not_land_owner,2,0,1,1,0,0,0,0,0,0,0,0,-1,1,5,2,-1,2,-1,Never,-1,1,4,-2.7743338,32.70359252,0,1,1,0,1,2,no_mm,middle age
107,107,1209,36,female,divorced,Primary completed,5,not_land_owner,1,1,0,0,0,0,0,0,0,0,0,0,3,-1,-1,1,2,2,-1,Weekly,-1,1,4,-1.49823944,33.80838533,1,1,0,0,3,1,mm_plus,middle age
108,108,3696,19,male,single,Primary completed,5,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,5,2,-1,Never,-1,1,4,-4.79615125,38.29238409,1,0,0,0,2,1,mm_only,youth
109,109,2134,51,female,married,Primary completed,3,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,5,2,-1,Never,-1,4,4,-2.4168124,32.93534714,1,0,0,0,2,1,mm_only,middle age
110,110,9410,65,male,married,Primary completed,1,not_land_owner,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,Weekly,-1,1,4,-7.28900961,38.99792171,1,0,1,0,3,2,mm_plus,senior
111,111,8259,53,female,married,Some primary,2,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,5,Never,-1,4,4,-11.04289071,37.43360887,0,0,0,0,0,1,no_mm,middle age
112,112,4922,52,female,widowed,Primary completed,1,not_land_owner,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-9.2401144,33.3392101,0,0,0,0,0,1,no_mm,middle age
113,113,4934,60,female,widowed,No formal education,4,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,Never,-1,4,4,-4.64239636,38.32172276,0,0,0,0,0,1,no_mm,middle age
114,114,5602,34,male,married,Some primary,1,not_land_owner,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,Never,-1,1,2,-8.29548706,31.52009092,0,0,0,0,0,1,no_mm,young adult
115,115,124,50,female,widowed,Primary completed,5,not_land_owner,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,Less than monthly,-1,1,4,-6.88544157,39.15487472,1,0,0,0,2,1,mm_only,middle age
116,116,7990,20,female,single,University or other higher education,3,not_land_owner,2,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,2,-1,1,4,Never,-1,1,1,-8.58424757,35.20765615,1,0,0,0,2,2,mm_only,youth
117,117,7735,79,male,married,Some primary,1,not_land_owner,1,0,1,0,0,0,0,0,0,0,0,0,-1,3,-1,2,-1,2,-1,Never,-1,1,4,-2.03701413,33.02725406,0,1,1,1,1,1,no_mm,senior
